technology_key	faction_key
#technology_faction_junctions_tables;0;db/technology_faction_junctions_tables/technology_faction_junctions	
enlightenment_anti_clericism	khanate_khiva
industry_textile_cotton_gin	khanate_khiva
industry_textile_spinning_frame	khanate_khiva
military_army_advanced_skirmishing	khanate_khiva
military_army_airguns	austria
military_army_european_doctrine	ottomans
military_army_screw_breach	britain
military_navy_mortar_ship_design	khanate_khiva
military_navy_pocket_chronometer	khanate_khiva
military_ordnance_explosive_rockets	austria
military_ordnance_explosive_rockets	bavaria
military_ordnance_explosive_rockets	britain
military_ordnance_explosive_rockets	courland
military_ordnance_explosive_rockets	denmark
military_ordnance_explosive_rockets	france
military_ordnance_explosive_rockets	genoa
military_ordnance_explosive_rockets	georgia
military_ordnance_explosive_rockets	greece
military_ordnance_explosive_rockets	hannover
military_ordnance_explosive_rockets	hessen
military_ordnance_explosive_rockets	holstein_gottorp
military_ordnance_explosive_rockets	hungary
military_ordnance_explosive_rockets	ireland
military_ordnance_explosive_rockets	maratha
military_ordnance_explosive_rockets	mecklenburg
military_ordnance_explosive_rockets	mughal
military_ordnance_explosive_rockets	naples_sicily
military_ordnance_explosive_rockets	netherlands
military_ordnance_explosive_rockets	norway
military_ordnance_explosive_rockets	papal_states
military_ordnance_explosive_rockets	piedmont_savoy
military_ordnance_explosive_rockets	poland_lithuania
military_ordnance_explosive_rockets	portugal
military_ordnance_explosive_rockets	prussia
military_ordnance_explosive_rockets	russia
military_ordnance_explosive_rockets	saxony
military_ordnance_explosive_rockets	scotland
military_ordnance_explosive_rockets	spain
military_ordnance_explosive_rockets	sweden
military_ordnance_explosive_rockets	swiss_confederation
military_ordnance_explosive_rockets	united_states
military_ordnance_explosive_rockets	venice
military_ordnance_explosive_rockets	westphalia
military_ordnance_explosive_rockets	wurttemberg
