key	faction	allowed
#units_to_exclusive_faction_permissions_tables;0;db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions		
1st_rate	britain	false
1st_rate	france	false
1st_rate	russia	false
1st_rate	spain	false
1st_rate	united_states	false
1st_rate_admiral	britain	false
1st_rate_admiral	france	false
1st_rate_admiral	russia	false
1st_rate_admiral	spain	false
1st_rate_admiral	united_states	false
1st_rate_admiral_american	united_states	true
1st_rate_admiral_british	britain	true
1st_rate_admiral_french	france	true
1st_rate_admiral_russian	russia	true
1st_rate_admiral_spanish	spain	true
1st_rate_american	united_states	true
1st_rate_british	britain	true
1st_rate_french	france	true
1st_rate_spanish	spain	true
2nd_rate	britain	false
2nd_rate	france	false
2nd_rate	spain	false
2nd_rate	united_states	false
2nd_rate_american	united_states	true
2nd_rate_british	britain	true
2nd_rate_french	france	true
2nd_rate_spanish	spain	true
3rd_rate	britain	false
3rd_rate	france	false
3rd_rate	russia	false
galleon_fluyt	netherlands	true
3rd_rate	spain	false
3rd_rate	united_states	false
3rd_rate_admiral	britain	false
3rd_rate_admiral	france	false
3rd_rate_admiral	russia	false
3rd_rate_admiral	spain	false
3rd_rate_admiral	united_states	false
3rd_rate_admiral_american	united_states	true
3rd_rate_admiral_british	britain	true
3rd_rate_admiral_french	france	true
3rd_rate_admiral_russian	russia	true
3rd_rate_admiral_spanish	spain	true
3rd_rate_american	united_states	true
3rd_rate_british	britain	true
3rd_rate_french	france	true
3rd_rate_russian	russia	true
3rd_rate_spanish	spain	true
4th_rate	britain	false
4th_rate	france	false
4th_rate	spain	false
4th_rate	united_states	false
4th_rate_american	united_states	true
4th_rate_british	britain	true
4th_rate_french	france	true
4th_rate_spanish	spain	true
5th_rate	britain	false
5th_rate	france	false
5th_rate	russia	false
5th_rate	spain	false
5th_rate	united_states	false
5th_rate_admiral	britain	false
5th_rate_admiral	france	false
5th_rate_admiral	russia	false
5th_rate_admiral	spain	false
5th_rate_admiral	united_states	false
5th_rate_admiral_american	united_states	true
5th_rate_admiral_british	britain	true
5th_rate_admiral_french	france	true
5th_rate_admiral_russian	russia	true
5th_rate_admiral_spanish	spain	true
5th_rate_american	united_states	true
5th_rate_british	britain	true
5th_rate_french	france	true
5th_rate_russian	russia	true
5th_rate_spanish	spain	true
6th_rate	britain	false
6th_rate	france	false
6th_rate	spain	false
6th_rate	united_states	false
6th_rate_american	united_states	true
6th_rate_british	britain	true
6th_rate_french	france	true
6th_rate_russian	russia	true
6th_rate_spanish	spain	true
american_heavy_frigate	united_states	true
armed_citizenry_pirates	pirates	true
barbary_xebec	barbary_rebels	true
barbary_xebec	pirates	true
bomb_ketch	britain	false
bomb_ketch	france	false
bomb_ketch	spain	false
bomb_ketch_american	united_states	true
bomb_ketch_british	britain	true
bomb_ketch_french	france	true
bomb_ketch_spanish	spain	true
brig	britain	false
brig	france	false
brig	pirates	true
brig	spain	false
brig	united_states	false
brig_american	united_states	true
brig_british	britain	true
brig_french	france	true
brig_spanish	spain	true
carronade_frigate	britain	false
carronade_frigate	france	false
carronade_frigate	spain	false
carronade_frigate	united_states	false
carronade_frigate_american	united_states	true
carronade_frigate_british	britain	true
carronade_frigate_french	france	true
carronade_frigate_spanish	spain	true
cossack_cavalry	poland_lithuania	false
cossack_cavalry_hetman	poland_lithuania	false
cossack_infantry	poland_lithuania	false
east_grenade_launchers	ottomans	true
episodic_1_arquebusiers	virginia_colonists	true
episodic_1_native_american_archers	powhatan	true
episodic_1_native_american_warriors	powhatan	true
episodic_1_settlers	virginia_colonists	true
episodic_2_24_lber_land_cannon	britain	true
episodic_2_24_lber_land_cannon	france	true
episodic_2_24_lber_land_cannon	virginia	true
