religion_a	religion_b	relations_modifier	religious_unhappiness_modifier
#diplomatic_relations_religion_tables;0;db/diplomatic_relations_religion_tables/diplomatic_relations_religion			
rel_animist	rel_animist	10	0.0000
rel_animist	rel_buddhist	0	0.0250
rel_animist	rel_catholic	-5	0.0250
rel_animist	rel_hindu	0	0.0250
rel_animist	rel_islamic	-5	0.0250
rel_animist	rel_nonconformist	0	0.0250
rel_animist	rel_orthodox	0	0.0250
rel_animist	rel_protestant	0	0.0250
rel_animist	rel_sikh	0	0.0250
rel_buddhist	rel_animist	0	0.0200
rel_buddhist	rel_buddhist	10	0.0000
rel_buddhist	rel_catholic	0	0.0200
rel_buddhist	rel_hindu	5	0.0200
rel_buddhist	rel_islamic	-5	0.0200
rel_buddhist	rel_nonconformist	0	0.0200
rel_buddhist	rel_orthodox	0	0.0200
rel_buddhist	rel_protestant	0	0.0200
rel_buddhist	rel_sikh	0	0.0200
rel_catholic	rel_animist	-10	0.1000
rel_catholic	rel_buddhist	0	0.0500
rel_catholic	rel_catholic	20	0.0000
rel_catholic	rel_hindu	0	0.0250
rel_catholic	rel_islamic	-15	0.0750
rel_catholic	rel_nonconformist	-10	0.0250
rel_catholic	rel_orthodox	0	0.0150
rel_catholic	rel_protestant	-5	0.0250
rel_catholic	rel_sikh	0	0.0500
rel_hindu	rel_animist	-5	0.0500
rel_hindu	rel_buddhist	0	0.0500
rel_hindu	rel_catholic	-5	0.0500
rel_hindu	rel_hindu	10	0.0000
rel_hindu	rel_islamic	-15	0.0500
rel_hindu	rel_nonconformist	0	0.0500
rel_hindu	rel_orthodox	0	0.0500
rel_hindu	rel_protestant	0	0.0500
rel_hindu	rel_sikh	-5	0.0500
rel_islamic	rel_animist	0	0.1000
rel_islamic	rel_buddhist	0	0.0500
rel_islamic	rel_catholic	-15	0.1000
rel_islamic	rel_hindu	-10	0.0750
rel_islamic	rel_islamic	30	0.0000
rel_islamic	rel_nonconformist	-5	0.1000
rel_islamic	rel_orthodox	-5	0.0500
rel_islamic	rel_protestant	-5	0.1000
rel_islamic	rel_sikh	-10	0.0500
rel_nonconformist	rel_animist	0	0.1000
rel_nonconformist	rel_buddhist	0	0.0500
rel_nonconformist	rel_catholic	-10	0.0250
rel_nonconformist	rel_hindu	0	0.1000
rel_nonconformist	rel_islamic	-5	0.0500
rel_nonconformist	rel_nonconformist	10	0.0000
rel_nonconformist	rel_orthodox	-5	0.0250
rel_nonconformist	rel_protestant	5	0.0150
rel_nonconformist	rel_sikh	0	0.0500
rel_orthodox	rel_animist	-5	0.1000
rel_orthodox	rel_buddhist	0	0.0500
rel_orthodox	rel_catholic	0	0.0150
rel_orthodox	rel_hindu	0	0.0500
rel_orthodox	rel_islamic	-10	0.0500
rel_orthodox	rel_nonconformist	0	0.0250
rel_orthodox	rel_orthodox	10	0.0000
rel_orthodox	rel_protestant	0	0.0250
rel_orthodox	rel_sikh	0	0.0500
rel_protestant	rel_animist	0	0.1000
rel_protestant	rel_buddhist	0	0.0500
rel_protestant	rel_catholic	-10	0.0250
rel_protestant	rel_hindu	0	0.0500
rel_protestant	rel_islamic	-5	0.1000
rel_protestant	rel_nonconformist	5	0.0150
rel_protestant	rel_orthodox	0	0.0250
rel_protestant	rel_protestant	10	0.0000
rel_protestant	rel_sikh	0	0.0500
rel_sikh	rel_animist	0	0.1000
rel_sikh	rel_buddhist	0	0.0500
rel_sikh	rel_catholic	0	0.0500
rel_sikh	rel_hindu	-5	0.0500
rel_sikh	rel_islamic	-10	0.0500
rel_sikh	rel_nonconformist	0	0.0500
rel_sikh	rel_orthodox	0	0.0500
rel_sikh	rel_protestant	0	0.0500
rel_sikh	rel_sikh	15	0.0000
