key	value
#_kv_morale_tables;0;db/_kv_morale_tables/_kv_morale	
blood_bonus_12	7.0000
blood_bonus_5	2.0000
blood_bonus_7	4.0000
broken_finish_base_timeout	600.0000
charge_bonus	10.0000
charge_timeout	80.0000
defensive_fort	10.0000
extended_casualties_penalty_10	-1.0000
extended_casualties_penalty_15	-2.0000
extended_casualties_penalty_33	-4.0000
extended_casualties_penalty_50	-8.0000
extended_casualties_penalty_80	-15.0000
fear_effect_range	50.0000
fighting_cavalry	-4.0000
morale_base	0.0000
recent_casualties_penalty_10	-2.0000
recent_casualties_penalty_15	-3.0000
recent_casualties_penalty_33	-7.0000
recent_casualties_penalty_50	-15.0000
recent_casualties_penalty_6	-1.0000
recent_casualties_shock_threshold	20.0000
routing_unit_effect_distance_flank	30.0000
routing_unit_effect_distance_front	75.0000
surprise_timeout	300.0000
total_casualties_penalty_20	-1.0000
total_casualties_penalty_40	-2.0000
total_casualties_penalty_60	-3.0000
total_casualties_penalty_80	-30.0000
total_casualties_penalty_90	-30.0000
ume_concerned_army_destruction	-20.0000
ume_concerned_attacked_by_artillery	-4.0000
ume_concerned_attacked_by_projectile	-2.0000
ume_concerned_exhausted	-4.0000
ume_concerned_flanks_exposed_multiple	-2.0000
ume_concerned_flanks_exposed_single	-1.0000
ume_concerned_general_dead	-2.0000
ume_concerned_general_died_recently	-6.0000
ume_concerned_general_fled_recently	-6.0000
ume_concerned_horses_frightened	-4.0000
ume_concerned_panic	-50.0000
ume_concerned_surprised	-7.0000
ume_concerned_tired	-1.0000
ume_concerned_unit_frightened	-4.0000
ume_concerned_very_tired	-2.0000
ume_encouraged_flanks_secure	6.0000
ume_encouraged_inspired	6.0000
ume_encouraged_on_the_hill	4.0000
ums_broken_threshold_lower	-15.0000
ums_broken_threshold_upper	-2.0000
ums_confident_threshold_lower	8.0000
ums_confident_threshold_upper	20.0000
ums_eager_threshold_lower	14.0000
ums_eager_threshold_upper	22.0000
ums_impetuous_threshold_lower	20.0000
ums_shaken_threshold_lower	-3.0000
ums_shaken_threshold_upper	2.0000
ums_steady_threshold_lower	0.0000
ums_steady_threshold_upper	10.0000
ums_wavering_threshold_lower	-5.0000
ums_wavering_threshold_upper	-1.0000
was_attacked_in_flank	-3.0000
was_attacked_in_front	0.0000
was_attacked_in_rear	-5.0000
waver_base_timeout	40.0000
