id	preset_id	unit	experience
#battle_type_unit_to_faction_presets_tables;0;db/battle_type_unit_to_faction_presets_tables/battle_type_unit_to_faction_presets			
1	376	euro_generals_bodyguard	1
2	376	euro_provincial_cavalry	0
3	376	euro_provincial_cavalry	0
4	376	euro_provincial_cavalry	0
5	376	euro_provincial_cavalry	0
6	376	euro_light_infantry_jaegers	0
7	376	euro_light_infantry_jaegers	0
8	376	euro_light_infantry_jaegers	0
9	376	euro_light_infantry_jaegers	0
10	376	euro_line_infantry_austria	1
11	376	euro_line_infantry_austria	1
12	376	euro_line_infantry_austria	0
13	376	euro_line_infantry_austria	0
14	376	euro_line_infantry_austria	0
15	376	euro_line_infantry_austria	0
16	376	euro_militia_infantry	3
17	376	12_lber_land_cannon	0
18	376	12_lber_land_cannon	0
19	376	3_lber_land_cannon_galloper	0
20	376	3_lber_land_cannon_galloper	0
21	377	euro_generals_bodyguard	0
22	377	euro_regiment_of_horse	0
23	377	euro_regiment_of_horse	0
24	377	euro_provincial_cavalry_yeomanry	0
25	377	euro_provincial_cavalry_yeomanry	0
26	377	euro_light_infantry	0
27	377	euro_light_infantry	0
28	377	euro_light_infantry	0
29	377	euro_light_infantry	0
30	377	euro_light_infantry	0
31	377	euro_light_infantry	0
32	377	euro_line_infantry_britain	0
33	377	euro_line_infantry_britain	0
34	377	euro_line_infantry_britain	0
35	377	euro_line_infantry_britain	0
36	377	euro_line_infantry_britain	0
37	377	euro_line_infantry_britain	0
38	377	12_lber_land_cannon	0
39	377	12_lber_land_cannon	0
40	377	3_lber_land_cannon_galloper	0
41	378	euro_generals_bodyguard	0
42	378	euro_provincial_cavalry_gendarmerie	0
43	378	euro_provincial_cavalry_gendarmerie	0
44	378	euro_provincial_cavalry_gendarmerie	0
45	378	euro_provincial_cavalry_gendarmerie	0
46	378	euro_line_infantry_france	0
47	378	euro_line_infantry_france	0
48	378	euro_line_infantry_france	0
49	378	euro_line_infantry_france	0
50	378	euro_line_infantry_france	0
51	378	euro_line_infantry_france	0
52	378	euro_expat_infantry_regiments_etrangeres	0
53	378	euro_line_infantry_france	0
54	378	euro_line_infantry_france	0
55	378	euro_light_infantry_chasseur_a_pied	0
56	378	euro_light_infantry_chasseur_a_pied	0
57	378	12_lber_howitzer	0
58	378	12_lber_howitzer	0
59	378	12_lber_land_cannon	0
60	378	12_lber_land_cannon	0
61	379	indian_generals_bodyguard	1
62	379	east_lancers_silladar	0
63	379	east_lancers_silladar	0
64	379	east_lancers_silladar	0
65	379	east_lancers_silladar	0
66	379	east_irregular_cavalry_pindari	0
67	379	east_irregular_cavalry_pindari	0
68	379	east_sikh_warriors	0
69	379	east_sikh_infantry_musketeers	0
70	379	east_sikh_infantry_musketeers	0
71	379	east_sikh_infantry_musketeers	0
72	379	east_ethnic_musketmen_hindu_musketeers	0
73	379	east_ethnic_musketmen_hindu_musketeers	0
74	379	east_sikh_warriors	0
75	379	east_sikh_warriors	0
76	379	east_ethnic_swordsmen_hindu_warriors	1
77	379	east_ethnic_swordsmen_hindu_warriors	0
78	379	12_lber_land_cannon_indian	0
79	379	12_lber_land_cannon_indian	0
80	379	4_inch_mortar_indian	0
81	380	euro_generals_bodyguard	1
82	380	euro_regiment_of_horse	0
83	380	euro_provincial_cavalry	0
84	380	euro_provincial_cavalry	0
85	380	euro_light_infantry	0
86	380	euro_light_infantry	0
87	380	euro_light_infantry	0
88	380	euro_light_infantry	0
89	380	euro_line_infantry_holland	0
90	380	euro_line_infantry_holland	0
91	380	euro_line_infantry_holland	0
92	380	euro_line_infantry_holland	0
93	380	euro_line_infantry_holland	0
94	380	euro_line_infantry_holland	0
95	380	euro_line_infantry_holland	0
96	380	euro_line_infantry_holland	0
97	380	3_lber_land_cannon_galloper	0
98	380	3_lber_land_cannon_galloper	0
99	380	3_lber_land_cannon_galloper	0
