key	value
#_kv_naval_morale_tables;0;db/_kv_naval_morale_tables/_kv_naval_morale	
kill_and_damage_bonus_12	5.0000
kill_and_damage_bonus_5	2.0000
kill_and_damage_bonus_7	3.0000
ship_broken_finish_base_timeout	600.0000
ship_casualty_surrender_threshold	20.0000
ship_extended_casualties_penalty_13	-1.0000
ship_extended_casualties_penalty_22	-2.0000
ship_extended_casualties_penalty_30	-3.0000
ship_extended_casualties_penalty_50	-5.0000
ship_extended_casualties_penalty_7	-1.0000
ship_extended_damage_penalty_10	-2.0000
ship_extended_damage_penalty_20	-4.0000
ship_extended_damage_penalty_40	-8.0000
ship_extended_damage_penalty_5	-1.0000
ship_morale_base	0.0000
ship_operational_guns_penalty_40	-5.0000
ship_operational_guns_penalty_75	-12.0000
ship_recent_casualties_penalty_13	-2.0000
ship_recent_casualties_penalty_2	-1.0000
ship_recent_casualties_penalty_22	-3.0000
ship_recent_casualties_penalty_30	-4.0000
ship_recent_casualties_penalty_7	-1.0000
ship_recent_casualties_shock_threshold	20.0000
ship_recent_damage_penalty_10	-2.0000
ship_recent_damage_penalty_15	-3.0000
ship_recent_damage_penalty_30	-6.0000
ship_recent_damage_penalty_6	-1.0000
ship_total_casualties_penalty_10	-2.0000
ship_total_casualties_penalty_20	-4.0000
ship_total_casualties_penalty_40	-6.0000
ship_total_casualties_penalty_5	-1.0000
ship_total_casualties_penalty_60	-8.0000
ship_total_damage_penalty_10	-2.0000
ship_total_damage_penalty_20	-4.0000
ship_total_damage_penalty_40	-7.0000
ship_total_damage_penalty_5	-1.0000
ship_total_damage_penalty_60	-12.0000
ship_waver_base_timeout	40.0000
sme_concerned_admiral_dead	-2.0000
sme_concerned_admiral_died_recently	-4.0000
sme_concerned_admiral_fled_recently	-3.0000
sme_concerned_demasted	-6.0000
sme_concerned_frightened	-6.0000
sme_concerned_on_fire	-8.0000
sme_concerned_panic	-50.0000
sme_concerned_rear_attacked	-4.0000
sme_concerned_rear_exposed	-2.0000
sme_concerned_under_attack	-2.0000
sme_encouraged_inspired	5.0000
sme_encouraged_rear_secure	3.0000
sms_broken_threshold_lower	-10.0000
sms_broken_threshold_upper	-2.0000
sms_confident_threshold_lower	8.0000
sms_confident_threshold_upper	20.0000
sms_eager_threshold_lower	20.0000
sms_shaken_threshold_lower	-3.0000
sms_shaken_threshold_upper	2.0000
sms_steady_threshold_lower	0.0000
sms_steady_threshold_upper	10.0000
sms_wavering_threshold_lower	-5.0000
sms_wavering_threshold_upper	-1.0000
sme_encouraged_boarding	6.0000
