key	text	tooltip
#Loc;1;text/localisation.loc		
abilities_effect_text_Can_Hide_In_Woods	Enables hiding on the battlefield.	false
abilities_effect_text_can_assassinate	Can undertake assassination missions.	false
abilities_effect_text_can_attack_land	Can instigate land battles.	false
abilities_effect_text_can_attack_naval	Can instigate naval battles.	false
abilities_effect_text_can_build_fort	Can construct fort.	false
abilities_effect_text_can_build_religious	Can construct mission.	false
abilities_effect_text_can_convert	Enables religious conversion.	false
abilities_effect_text_can_duel	Enables duelling challenges.	false
abilities_effect_text_can_exchange	Can merge with other pieces.	false
abilities_effect_text_can_receive_duel	Can receive a duel challenge.	false
abilities_effect_text_can_research	Can research technologies.	false
abilities_effect_text_can_sabotage	Can undertake sabotage missions.	false
abilities_effect_text_can_spy	Can undertake spying missions.	false
achievements_description_ACHIEVEMENT_ALL_TECHS	Have your natural philosophers and scientists research all the technologies available to your nation.	false
achievements_description_ACHIEVEMENT_ASSASSINATIONS	Use your assassins to kill, in unlooked-for fashion, twenty men who hinder your plans.	false
achievements_description_ACHIEVEMENT_COMPLETE_GRAND_CAMPAIGN_EASY	Complete the main campaign game on the easy difficulty setting.	false
achievements_description_ACHIEVEMENT_COMPLETE_GRAND_CAMPAIGN_HARD	Complete the main campaign game on the hard difficulty setting.	false
achievements_description_ACHIEVEMENT_COMPLETE_GRAND_CAMPAIGN_MEDIUM	Complete the main campaign game on the medium difficulty setting.	false
achievements_description_ACHIEVEMENT_COMPLETE_US_INDEPENDENCE	Complete the Road to Independence campaigns freeing the American colonists from British rule!	false
achievements_description_ACHIEVEMENT_CONQUER_AMERICA	Conquer or control all the provinces and regions in the Americas at the same time.	false
achievements_description_ACHIEVEMENT_CONQUER_EUROPE	Subdue and hold all the provinces and regions in Europe at the same time.	false
achievements_description_ACHIEVEMENT_CONQUER_INDIA	Have mastery over all the provinces and regions in India at the same time.	false
achievements_description_ACHIEVEMENT_DUELS	Use your duellists to kill twenty men on the "field of honour"	false
achievements_description_ACHIEVEMENT_KILL_100K	Carve a bloody path to victory: kill a hundred thousand enemies!	false
achievements_description_ACHIEVEMENT_KILL_1M	Be hailed as a true conqueror: kill a million enemies!	false
achievements_description_ACHIEVEMENT_KILL_500K	Bring terror to the hearts of men: kill half a million enemies!	false
achievements_description_ACHIEVEMENT_MISSIONS	Ensure that thirty missions, regardless of detail or type, are successfully brought to a conclusion.	false
achievements_description_ACHIEVEMENT_MP_BATTLES_PLAYED_1	War sir, is a terrifying experience! Take part in a multiplayer battle.	false
achievements_description_ACHIEVEMENT_MP_BATTLES_PLAYED_10	Demonstrate your sense of duty and honour: complete ten multi-player battles.	false
achievements_description_ACHIEVEMENT_MP_BATTLES_PLAYED_1_QUICK	Draw the sword and march onwards: complete one quick battle.	false
achievements_description_ACHIEVEMENT_MP_BATTLES_PLAYED_1_RANKED	Gain some experience of combat: complete one ranked battle.	false
achievements_description_ACHIEVEMENT_MP_BATTLES_WON_10	Achieve victory in ten multiplayer battles, cutting a bloody path to greatness through your enemies' plans.	false
achievements_description_ACHIEVEMENT_MP_BATTLES_WON_10_CLASSIC	Win ten classic multi-player battles.	false
achievements_description_ACHIEVEMENT_MP_BATTLES_WON_10_NAVAL	As a commanding admiral, win ten multi-player naval battles.	false
achievements_description_ACHIEVEMENT_MP_BATTLES_WON_10_SIEGE_ATT	Attack! Attack! Attack! Win ten multi-player siege battles when commanding a besieging army.	false
achievements_description_ACHIEVEMENT_MP_BATTLES_WON_10_SIEGE_DEF	Defend, sir, defend! Win ten multi-player siege battles when commanding  the defenders of a fortress. 	false
achievements_description_ACHIEVEMENT_MP_BATTLES_WON_50	Achieve victory in fifty multiplayer battles, dashing your enemies' hopes in pieces in the process!	false
achievements_description_ACHIEVEMENT_REGION_1	Take one region by conquest, somewhere in the world.	false
achievements_description_ACHIEVEMENT_REGION_10	Capture ten regions, anywhere in the world.	false
achievements_description_ACHIEVEMENT_REGION_100	Demonstrate outstanding ability, and capture one hundred regions.	false
achievements_description_ACHIEVEMENT_SHIP_CAPTURE	Capture 20 enemy vessels in honest, manly battle against the foe!	false
