ancillary	effect	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/ancillary_to_effects		
Ancillary_African_Servant	personal_security	-5.0000
Ancillary_Air_Loom_Operator	subterfuge_sabotage	5.0000
Ancillary_Air_Loom_Operator	subterfuge_spying	5.0000
Ancillary_Amazing_Wine_Cellar	happy_character_upper	2.0000
Ancillary_Amusing_Cad	happy_character_lower	-3.0000
Ancillary_Amusing_Cad	happy_character_upper	4.0000
Ancillary_Army_Aide_Nephew	morale_bonus	2.0000
Ancillary_Army_Cleric	morale_bonus	2.0000
Ancillary_Army_Drillmaster	morale_bonus	-1.0000
Ancillary_Army_Drillmaster	Movement_Points_Land_Infantry	10.0000
Ancillary_Army_European_Turncoat	Command_Land_Attack	2.0000
Ancillary_Army_Exploring_Officer	Movement_Points_All	5.0000
Ancillary_Army_Hagiographer	morale_bonus	-2.0000
Ancillary_Army_Hagiographer	prestige_military_generic	2.0000
Ancillary_Army_Loyal_Sowar	Command_Land_In_India	2.0000
Ancillary_Army_Merc_Artilleryman	Command_Land_Artillery_Troops	2.0000
Ancillary_Army_Merc_Artilleryman	Movement_Points_Land_Artillery	5.0000
Ancillary_Army_Merc_Cavalryman	Command_Land_Cavalry_Troops	2.0000
Ancillary_Army_Merc_Infantryman	Command_Land_Infantry_Troops	2.0000
Ancillary_Army_Military_Artist	Movement_Points_All_Land	5.0000
Ancillary_Army_Military_Surveyor	Movement_Points_All_Land	5.0000
Ancillary_Army_Ottoman_Turncoat	hates_ottomans	2.0000
Ancillary_Army_Pox_Doctor	character_death_chance_turn_end	-10.0000
Ancillary_Army_Pox_Doctor	mod_battle_death_rate	5.0000
Ancillary_Army_Quartermaster	morale_bonus	1.0000
Ancillary_Army_Quartermaster	Movement_Points_Land_Infantry	5.0000
Ancillary_Army_Surgeon	mod_battle_death_rate	10.0000
Ancillary_Army_Tribal_Shaman	hates_europeans	1.0000
Ancillary_Army_Tribal_Shaman	morale_bonus	4.0000
Ancillary_Army_Waggonmaster	Movement_Points_All_Land	5.0000
Ancillary_Artillery_Expert	Command_Land_Artillery_Troops	2.0000
Ancillary_Artillery_Expert	Movement_Points_Land_Artillery	5.0000
Ancillary_Assassin_Thug	subterfuge_assassination	3.0000
Ancillary_Assassin_Thug	subterfuge_sabotage	-1.0000
Ancillary_Barber	character_death_chance_turn_end	-5.0000
Ancillary_Barber	morale_bonus	-1.0000
Ancillary_Blood_Brother	Command_Land_In_Americas	2.0000
Ancillary_Bodysnatcher	happy_character_lower	-2.0000
Ancillary_Bodysnatcher	research_points_enlightenment	2.0000
Ancillary_Boxer	morale_bonus	1.0000
Ancillary_Boxer	personal_security	-10.0000
Ancillary_Duelling_Minx	personal_security	5.0000
Ancillary_European_Captive_Ferang	hates_europeans	2.0000
Ancillary_Foodtaster	personal_security	-10.0000
Ancillary_Garden_Hermit	building_cost_mod_industry	5.0000
Ancillary_Garden_Hermit	happy_character_upper	2.0000
Ancillary_Government_Architect	building_cost_mod_farms	-5.0000
Ancillary_Government_Architect	happy_character_lower	-1.0000
Ancillary_Government_Architect	happy_character_upper	2.0000
Ancillary_Government_Comptroller	management_finance	2.0000
Ancillary_Government_Comptroller	tax_bonus_governor	-5.0000
Ancillary_Government_Controller	building_cost_mod_happiness	-5.0000
Ancillary_Government_Controller	building_cost_mod_industry_metal	-5.0000
Ancillary_Government_Crimper	recruitment_cost_mod_category_infantry	-5.0000
Ancillary_Government_Cypher	subterfuge_counterspying	2.0000
Ancillary_Government_Executioner_Nasty	repression_character	2.0000
Ancillary_Government_Guardian	personal_security	-10.0000
Ancillary_Government_Secret_Policeman	agent_spawn_rate_mod_rake	5.0000
Ancillary_Government_Secret_Policeman	personal_security	-5.0000
Ancillary_Government_Secretary_Efficient	management_finance	1.0000
Ancillary_Government_Secretary_Efficient	management_justice	2.0000
Ancillary_Government_Secretary_Gobby	management_finance	2.0000
Ancillary_Government_Secretary_Gobby	management_justice	-1.0000
Ancillary_Government_Spymaster	agent_spawn_rate_assassin	5.0000
Ancillary_Government_Spymaster	agent_spawn_rate_mod_rake	5.0000
Ancillary_Government_Thieftaker	happy_character_upper	1.0000
Ancillary_Government_Thieftaker	repression_character	2.0000
Ancillary_Government_Vampire_Hunter	happy_character_lower	2.0000
Ancillary_Government_Vampire_Hunter	repression_character	1.0000
Ancillary_Government_Wrestler	personal_security	-5.0000
Ancillary_Government_Wrestler	repression_character	1.0000
Ancillary_Great_Composer	happy_character_upper	2.0000
Ancillary_Grizzly_Adams	Command_Land_Ambushes	2.0000
Ancillary_Historian	prestige_faction_leader	1.0000
Ancillary_Inventive_Genius_Astronomer	research_points_enlightenment	2.0000
Ancillary_Inventive_Genius_Loony	research_points_enlightenment	2.0000
Ancillary_Inventive_Genius_Loony	research_points_industry	-2.0000
Ancillary_Inventive_Genius_Mill_Worker	research_points_industry	2.0000
Ancillary_Justice_Witness	management_justice	1.0000
Ancillary_Justice_Witness	repression_character	1.0000
Ancillary_Landscape_Gardener	building_cost_mod_farms	10.0000
Ancillary_Landscape_Gardener	happy_character_lower	-1.0000
Ancillary_Landscape_Gardener	happy_character_upper	3.0000
Ancillary_Madman	personal_security	10.0000
Ancillary_Madman	research_points_enlightenment	2.0000
Ancillary_Master_of_Lunacy	personal_security	-5.0000
Ancillary_Master_of_Lunacy	repression_character	1.0000
Ancillary_Merchant_Corn_Factor	gdp_mod_farms_wheat	5.0000
Ancillary_Merchant_Corn_Factor	happy_character_lower	-1.0000
Ancillary_Military_Riding_Master	management_army	-1.0000
Ancillary_Military_Riding_Master	recruitment_cost_mod_category_cavalry	-10.0000
Ancillary_Mistress_Actress	Movement_Points_All	-25.0000
Ancillary_Mistress_Actress	prestige_military_generic	2.0000
Ancillary_Mistress_Circassian	personal_security	-10.0000
Ancillary_Mistress_Circassian	prestige_faction_leader	2.0000
Ancillary_Mistress_Common_Floozy	happy_character_lower	2.0000
Ancillary_Mistress_Common_Floozy	happy_character_upper	-1.0000
Ancillary_Mistress_Gorgeous	happy_character_upper	2.0000
Ancillary_Mistress_Molly	happy_character_middle	-2.0000
Ancillary_Mistress_Molly	happy_character_upper	2.0000
Ancillary_Mistress_Noble	management_finance	1.0000
Ancillary_Mistress_Noble	management_justice	1.0000
Ancillary_Mistress_Spycatcher_Lady	management_justice	1.0000
Ancillary_Mistress_Spycatcher_Lady	personal_security	-5.0000
Ancillary_Mistress_Spymistress	management_justice	-1.0000
Ancillary_Mistress_Spymistress	repression_character	2.0000
Ancillary_Mystic_Mysterious	hates_ottomans	2.0000
Ancillary_Mystic_Mysterious	Movement_Points_All_Land	-5.0000
Ancillary_Mystic_Useful	Command_Land_Ambushes	1.0000
Ancillary_Mystic_Useful	hates_europeans	2.0000
Ancillary_Navy_Cleric	morale_bonus	2.0000
Ancillary_Navy_Flag_Lieutenant	Command_Sea_Attack	1.0000
Ancillary_Navy_Naval_Architect	management_navy	1.0000
Ancillary_Navy_Naval_Architect	recruitment_cost_mod_naval_all	-10.0000
Ancillary_Navy_Naval_Surveryor	management_navy	2.0000
Ancillary_Navy_Prize_Agent_Good	morale_bonus	2.0000
Ancillary_Navy_Purser	morale_bonus	-1.0000
Ancillary_Navy_Purser	upkeep_cost_mod_naval_all	-5.0000
Ancillary_Navy_Sailing_Master	mod_ship_movement_campaign	10.0000
Ancillary_Navy_Surgeon	mod_battle_death_rate	-10.0000
Ancillary_Navy_Watch	mod_ship_movement_campaign	-5.0000
Ancillary_Numismatist	happy_character_upper	-1.0000
Ancillary_Numismatist	management_finance	2.0000
Ancillary_Outstanding_Choirmaster	happy_character_upper	1.0000
Ancillary_Outstanding_Choirmaster	prestige_enlightenment_generic	1.0000
Ancillary_Pamphleteer_Government	happy_character_lower	2.0000
Ancillary_Pamphleteer_Government	happy_character_middle	1.0000
Ancillary_Pamphleteer_Radical	subterfuge_sabotage	1.0000
Ancillary_Pamphleteer_Radical	subterfuge_spying	1.0000
Ancillary_Personal_Physician	mod_battle_death_rate	-10.0000
Ancillary_Personal_Physician	Movement_Points_All_Land	-5.0000
Ancillary_Pet_Monkey	subterfuge_assassination	1.0000
