key	character_anim_set	walk_anim_set	anim_status
#campaign_character_anim_walk_anim_junctions_tables;0;db/campaign_character_anim_walk_anim_junctions_tables/campaign_character_anim_walk_anim_junctions			
-1465454529	scholar	scholar	normal
-1242508012	thugee	thugee	normal
-469026762	rake	rake	normal
1222354729	default_ship	default_ship	normal
1225279169	gentleman	gentleman	normal
1226942046	rake	rake	attack_trade
1227197464	default_human	default_human	normal
1299788368	default_human	default_human	attack_trade
1772250614	missionary	missionary	normal
2078396077	eastern_ship	eastern_ship	normal
1228665774	default_human	default_human	siege
-401190535	thugee	thugee	attack_trade
-1705047994	eastern_ship	eastern_ship	attack_trade
-1214031793	default_ship	default_ship	attack_trade
-775061532	default_ship	default_ship	siege
117854997	eastern_ship	eastern_ship	siege
671478675	default_human	default_human	stealthy
