trait	culture
#trait_to_excluded_cultures_tables;0;db/trait_to_excluded_cultures_tables/trait_to_excluded_cultures	
C_Admiral_Attacker_Bad	tribal
C_Admiral_Attacker_Good	tribal
C_Admiral_Defender_Bad	tribal
C_Admiral_Defender_Good	tribal
C_Admiral_Drunkard	middle_east
C_Admiral_Sobriety	middle_east
C_General_Americas_Bad	tribal
C_General_Americas_Good	tribal
C_General_Drunkard	middle_east
C_General_India_Bad	indian
C_General_India_Bad	tribal
C_General_India_Good	indian
C_General_India_Good	tribal
C_General_of_Artillery	tribal
C_General_of_Infantry	tribal
C_General_Siege_Attack_Bad	tribal
C_General_Siege_Attack_Good	tribal
C_General_Siege_Defend_Bad	tribal
C_General_Siege_Defend_Good	tribal
C_General_Warlord	european
C_General_Warlord	indian
C_General_Warlord	middle_east
C_Honourable_Service	indian
C_Honourable_Service	middle_east
C_Honourable_Service	tribal
C_Personal_Piety	tribal
C_Sausage_Vice	indian
C_Sausage_Vice	middle_east
C_Sausage_Vice	tribal
