ancillary	excluded_ancillary
#ancillary_to_excluded_ancillaries_tables;0;db/ancillary_to_excluded_ancillaries_tables/ancillary_to_excluded_ancillaries	
Ancillary_Army_Merc_Artilleryman	Ancillary_Army_Merc_Cavalryman
Ancillary_Army_Merc_Cavalryman	Ancillary_Army_Merc_Artilleryman
Ancillary_Army_Quartermaster	Ancillary_Army_Waggonmaster
Ancillary_Army_Waggonmaster	Ancillary_Army_Quartermaster
Ancillary_Government_Spymaster	Ancillary_Mistress_Spymistress
Ancillary_Inventive_Genius_Loony	Ancillary_Inventive_Genius_Astronomer
Ancillary_Mistress_Actress	Ancillary_Religion_Bishop
Ancillary_Mistress_Common_Floozy	Ancillary_Mistress_Gorgeous
Ancillary_Mistress_Common_Floozy	Ancillary_Mistress_Molly
Ancillary_Mistress_Gorgeous	Ancillary_Mistress_Common_Floozy
Ancillary_Mistress_Gorgeous	Ancillary_Mistress_Molly
Ancillary_Mistress_Gorgeous	Ancillary_Mistress_Noble
Ancillary_Mistress_Molly	Ancillary_Mistress_Common_Floozy
Ancillary_Mistress_Molly	Ancillary_Mistress_Gorgeous
Ancillary_Mistress_Molly	Ancillary_Mistress_Noble
Ancillary_Mistress_Noble	Ancillary_Mistress_Gorgeous
Ancillary_Mistress_Noble	Ancillary_Mistress_Molly
Ancillary_Mistress_Spycatcher_Lady	Ancillary_Mistress_Common_Floozy
Ancillary_Mistress_Spycatcher_Lady	Ancillary_Mistress_Gorgeous
Ancillary_Mistress_Spycatcher_Lady	Ancillary_Mistress_Molly
Ancillary_Mistress_Spycatcher_Lady	Ancillary_Mistress_Noble
Ancillary_Mistress_Spymistress	Ancillary_Government_Spymaster
Ancillary_Mistress_Spymistress	Ancillary_Mistress_Common_Floozy
Ancillary_Mistress_Spymistress	Ancillary_Mistress_Gorgeous
Ancillary_Mistress_Spymistress	Ancillary_Mistress_Molly
Ancillary_Mystic_Mysterious	Ancillary_Mystic_Useful
Ancillary_Mystic_Useful	Ancillary_Mystic_Mysterious
Ancillary_Navy_Sailing_Master	Ancillary_Navy_Watch
Ancillary_Navy_Watch	Ancillary_Navy_Sailing_Master
Ancilllary_Dead_Parrot_Pirate	Ancilllary_Pet_Parrot_Ordinary
Ancilllary_Dead_Parrot_Pirate	Ancilllary_Pet_Parrot_Pirate
