key	class_validation	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	fire_arc_loose	turn_speed	hit_points
#battle_entities_tables;0;db/battle_entities_tables/battle_entities																				
ammo_caisson_large	artillery	ammo_caisson	1.6200	3.4200	2.0000	2.0000	5.2200	1.0000	20.0000	20.0000	20.0000	2.0000	ellipse	0.2500	900.0000	2.5000	30.0000	45.0000	45.0000	25
ammo_caisson_small	artillery	ammo_caisson	1.8000	3.6000	2.0000	2.0000	5.8500	1.0000	20.0000	20.0000	20.0000	2.0000	ellipse	0.2500	700.0000	2.3000	30.0000	45.0000	45.0000	25
artillery_fixed	artillery	artillery	0.0000	0.0000	2.0000	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5000	ellipse	0.5000	2000.0000	1.5000	360.0000	360.0000	45.0000	25
artillery_light	artillery	artillery	0.9000	1.8000	2.0000	4.0000	1.8000	1.0000	30.0000	20.0000	10.0000	1.5000	ellipse	0.5000	1000.0000	1.2000	360.0000	360.0000	45.0000	25
artillery_medium	artillery	artillery	0.6300	1.3500	2.0000	4.0000	1.3500	0.7000	30.0000	20.0000	10.0000	1.5000	ellipse	0.5000	1500.0000	1.3000	360.0000	360.0000	45.0000	25
artillery_siege	artillery	artillery	0.3600	0.9000	2.0000	4.0000	0.9000	0.4000	30.0000	20.0000	10.0000	1.5000	ellipse	0.5000	2000.0000	1.5000	360.0000	360.0000	45.0000	25
camel	cavalry	camel	2.1600	6.3000	2.0000	6.0000	8.1000	2.0000	40.0000	30.0000	25.0000	2.0000	ellipse	0.2500	600.0000	2.5000	90.0000	90.0000	90.0000	1
elephant	cavalry	elephant	1.8000	4.5000	2.0000	4.0000	6.3000	2.0000	40.0000	30.0000	25.0000	2.0000	ellipse	0.5000	5000.0000	3.5000	30.0000	45.0000	90.0000	3
gun_train_2_horse	artillery	gun_train_2	1.8000	1.8000	2.0000	2.0000	5.8500	1.0000	20.0000	20.0000	20.0000	2.0000	dynamic_elipse	0.2500	700.0000	2.3000	30.0000	45.0000	45.0000	50
gun_train_6_horse	artillery	gun_train_6	2.7000	9.0000	1.5000	1.5000	5.2200	1.0000	20.0000	20.0000	20.0000	2.0000	dynamic_elipse	0.2500	900.0000	2.5000	30.0000	45.0000	45.0000	50
horse_heavy	cavalry	horse	2.7000	8.1000	2.5000	6.0000	10.8000	2.0000	40.0000	30.0000	25.0000	2.0000	ellipse	0.2500	750.0000	2.5000	90.0000	90.0000	20.0000	1
horse_light	cavalry	horse	3.0600	11.7000	3.5000	10.0000	12.6000	4.0000	40.0000	30.0000	25.0000	2.0000	ellipse	0.2500	450.0000	2.2000	90.0000	90.0000	40.0000	1
horse_medium	cavalry	horse	2.8800	9.9000	3.0000	8.0000	11.7000	3.0000	40.0000	30.0000	25.0000	2.0000	ellipse	0.2500	600.0000	2.3000	90.0000	90.0000	30.0000	1
infantry_euro_heavy	infantry	man	1.5300	3.1500	2.0000	5.0000	3.7800	0.5000	20.0000	15.0000	10.0000	0.3500	circle	1.0000	100.0000	2.0000	70.0000	70.0000	90.0000	1
infantry_euro_light	infantry	man	1.6200	4.0500	3.0000	6.0000	4.9500	1.2000	20.0000	15.0000	10.0000	0.3500	circle	1.0000	80.0000	2.0000	70.0000	70.0000	90.0000	1
infantry_euro_medium	infantry	man	1.5300	3.5100	2.4000	5.0000	3.9600	0.8000	20.0000	15.0000	10.0000	0.3500	circle	1.0000	90.0000	2.0000	70.0000	70.0000	90.0000	1
naval_cannon	naval_artillery	artillery	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	ellipse	0.5000	1000.0000	1.5000	40.0000	40.0000	90.0000	1
naval_fixed	naval_artillery	artillery	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	ellipse	0.5000	700.0000	2.3000	40.0000	40.0000	0.0000	1
puckle	artillery	artillery	1.8000	3.6000	2.0000	2.0000	5.8500	1.0000	20.0000	20.0000	10.0000	1.0000	ellipse	0.5000	500.0000	2.0000	60.0000	60.0000	90.0000	1
puckle_carriage	artillery	ammo_caisson	1.8000	3.6000	2.0000	2.0000	5.8500	1.0000	20.0000	20.0000	10.0000	1.0000	ellipse	0.5000	500.0000	2.0000	60.0000	60.0000	90.0000	1
