attribute	agent	default_value	visible
#agent_to_agent_attributes_tables;0;db/agent_to_agent_attributes_tables/agent_to_agent_attributes			
command_land	bandit	1	true
command_land	colonel	0	false
command_land	General	2	true
command_land	pirate	0	false
command_sea	admiral	2	true
command_sea	captain	0	false
command_sea	pirate	1	true
duelling_pistols	gentleman	2	true
duelling_swords	gentleman	2	true
management	minister	2	true
morale_land	General	1	false
movement_points_land	General	1	false
research	Eastern_Scholar	2	true
research	gentleman	2	true
subterfuge	assassin	2	true
subterfuge	bandit	0	false
subterfuge	pirate	1	false
subterfuge	rake	2	true
zeal	catholic_missionary	2	true
zeal	indian_missionary	2	true
zeal	middle_east_missionary	2	true
zeal	orthodox_missionary	2	true
zeal	Protestant_Missionary	2	true
duelling_pistols	rake	0	false
duelling_swords	rake	0	false
