effect	bonus_value_id	building_chain
#effect_bonus_value_building_chain_junctions_tables;0;db/effect_bonus_value_building_chain_junctions_tables/effect_bonus_value_building_chain_junctions		
building_cost_mod_farms	mod_cost	corn
building_cost_mod_farms	mod_cost	rice
building_cost_mod_farms	mod_cost	sheep
building_cost_mod_farms	mod_cost	wheat
building_cost_mod_farms	mod_cost	wine
building_cost_mod_happiness	mod_cost	culture
building_cost_mod_happiness	mod_cost	happiness
building_cost_mod_industry	mod_cost	industry-metal
building_cost_mod_industry	mod_cost	industry-pottery
building_cost_mod_industry	mod_cost	industry-textile
building_cost_mod_industry_metal	mod_cost	industry-metal
building_cost_mod_mines	mod_cost	gems
building_cost_mod_mines	mod_cost	gold
building_cost_mod_mines	mod_cost	iron
building_cost_mod_mines	mod_cost	silver
building_cost_mod_plantations	mod_cost	coffee
building_cost_mod_plantations	mod_cost	cotton
building_cost_mod_plantations	mod_cost	spices
building_cost_mod_plantations	mod_cost	sugar
building_cost_mod_plantations	mod_cost	tea
building_cost_mod_plantations	mod_cost	tobacco
gdp_mod_farms	mod_gdp	corn
gdp_mod_farms	mod_gdp	rice
gdp_mod_farms	mod_gdp	sheep
gdp_mod_farms	mod_gdp	wheat
gdp_mod_farms	mod_gdp	wine
gdp_mod_farms_livestock	mod_gdp	sheep
gdp_mod_farms_wheat	mod_gdp	wheat
gdp_mod_industry_all	mod_gdp	industry-metal
gdp_mod_industry_all	mod_gdp	industry-pottery
gdp_mod_industry_all	mod_gdp	industry-textile
gdp_mod_industry_metals	mod_gdp	industry-metal
gdp_mod_industry_textiles	mod_gdp	industry-textile
gdp_mod_mines	mod_gdp	gems
gdp_mod_mines	mod_gdp	gold
gdp_mod_mines	mod_gdp	iron
gdp_mod_mines	mod_gdp	silver
gdp_mod_plantations	mod_cost	coffee
gdp_mod_plantations	mod_gdp	cotton
gdp_mod_plantations	mod_gdp	spices
gdp_mod_plantations	mod_gdp	sugar
gdp_mod_plantations	mod_gdp	tea
gdp_mod_plantations	mod_gdp	tobacco
gdp_mod_ports	mod_gdp	port-fish
gdp_mod_ports	mod_gdp	port-trade
tw_growth_mod_metals	mod_tw_growth	industry-metal
tw_growth_mod_port_trade	mod_tw_growth	port-trade
tw_growth_mod_textiles	mod_tw_growth	industry-textile
