key	unit	slot_bed	trade_value	icon_filepath
#resources_tables;0;db/resources_tables/resources				
res_cattle		corn	0	data\UI\Campaign UI\Pips\corn.tga
res_coffee	sacks	caribbean	0	data\UI\Campaign UI\Pips\coffee.tga
res_corn		corn	25	data\UI\Campaign UI\Pips\corn.tga
res_cotton	bales	india_highlands	0	data\UI\Campaign UI\Pips\cotton.tga
res_fish		fish	25	data\UI\Campaign UI\Pips\fish.tga
res_furs	pelts	fur	0	data\UI\Campaign UI\Pips\furs.tga
res_gems		gems	50	data\UI\Campaign UI\Pips\gems.tga
res_gold		gold	75	data\UI\Campaign UI\Pips\gold.tga
res_iron		iron	30	data\UI\Campaign UI\Pips\iron.tga
res_ivory	tusks	fort	50	data\UI\Campaign UI\Pips\ivory.tga
res_rice		rice	25	data\UI\Campaign UI\Pips\rice.tga
res_sheep		sheep	25	data\UI\Campaign UI\Pips\sheep.tga
res_silver		silver	50	data\UI\Campaign UI\Pips\silver.tga
res_spices	pounds	india_highlands	0	data\UI\Campaign UI\Pips\spices.tga
res_sugar	loaves	caribbean	0	data\UI\Campaign UI\Pips\sugar.tga
res_tea	chests	tropical_humid	0	data\UI\Campaign UI\Pips\tea.tga
res_timber		timber	30	data\UI\Campaign UI\Pips\timber.tga
res_tobacco	barrels	caribbean	0	data\UI\Campaign UI\Pips\tobacco.tga
res_wheat		wheat	25	data\UI\Campaign UI\Pips\wheat.tga
res_wine		wine	30	data\UI\Campaign UI\Pips\wine.tga
