key	screen_name	activity	source	type	description	success_condition	advisory	success_effect	cancel_condition	failure_condition	duration
#missions_tables;0;db/missions_tables/missions											
ep1_build_farm	ep1_build_a_farm_heading	build	constitutional_monarchy	development	ep1_build_a_farm_text	true	0	T+500	false	false	0
ep1_build_fishery	ep1_build_fishery_heading	build	constitutional_monarchy	development	ep1_build_fishery_text	true	0		false	false	0
ep1_build_tobacco_plantation	ep1_build_tobacco_plantation_heading	build	constitutional_monarchy	development	ep1_build_tobacco_plantation_text	true	0	T+500	false	false	10
ep1_capture_settlement_maryland	ep1_capture_enemy_village_heading	capture_city	constitutional_monarchy	military	ep1_capture_enemy_village_text	true	0	T+1000	false	false	0
ep1_capture_settlement_pennsylvania	ep1_capture_enemy_city_heading	capture_city	constitutional_monarchy	military	ep1_capture_enemy_city_text	true	0		false	false	0
ep1_recruit_unit	ep1_recruit_unit_heading	recruit	constitutional_monarchy	military	ep1_recruit_unit_text	true	0		false	false	20
ep2_build_gov	ep2_build_gov_upgrade_heading	build	constitutional_monarchy	development	ep2_build_gov_upgrade_text	true	0		false	false	10
ep2_build_shipyard	ep2_build_shipyard_heading	build	constitutional_monarchy	development	ep2_build_shipyard_text	true	0		false	false	20
ep2_capture_fort_beausejour	ep2_capture_fort_beausejour_heading	capture_city	constitutional_monarchy	military	ep2_capture_fort_beausejour_text	true	0		false	false	10
ep2_capture_fort_duquesne_1	ep2_capture_fort_duquesne_1_heading	capture_city	constitutional_monarchy	military	ep2_capture_fort_duquesne_1_text	true	0		false	false	15
ep2_capture_fort_frontenac	ep2_capture_fort_frontenac_heading	capture_city	constitutional_monarchy	military	ep2_capture_fort_frontenac_text	true	0		false	false	10
ep2_capture_fort_oswego	ep2_capture_fort_oswego_heading	capture_city	constitutional_monarchy	military	ep2_capture_fort_oswego_text	true	0		false	false	10
ep2_capture_fortniagara	ep2_capture_fort_niagara_heading	capture_city	constitutional_monarchy	military	ep2_capture_fort_niagara_text	true	0		false	false	0
ep2_capture_louisbourg	ep2_capture_louisbourg_heading	capture_city	constitutional_monarchy	military	ep2_capture_louisbourg_text	true	0		false	false	0
ep2_capture_montreal	ep2_capture_montreal_heading	capture_city	constitutional_monarchy	military	ep2_capture_montreal_text	true	0		false	false	0
ep2_capture_quebec	ep2_capture_quebec_heading	capture_city	constitutional_monarchy	military	ep2_capture_quebec_text	true	0		false	false	0
ep2_make_alliance_iroquois	ep2_make_alliance_iroquois_heading	make_alliance	constitutional_monarchy	diplomatic	ep2_make_alliance_iroquois_text	true	0		false	false	20
ep2_recruit_naval_unit	ep2_recruit_ship_of_the_line_heading	build	constitutional_monarchy	military	ep2_recruit_ship_of_the_line_text	true	0		false	false	10
ep3_capture_albany	main_mission_capture_city_heading	capture_city	republic	military	main_mission_capture_city_text	true	0		false	false	0
main_protectorate_thirteen_colonies	main_protectorate_thirteen_colonies_text	protectorate_region_capture	constitutional_monarchy	military	main_protectorate_thirteen_colonies_text	true	0		false	false	0
