key	on_screen_name	category	class	multiplayer_cost	create_time	multiplayer_late_cost	create_cost	campaign_action_points	voice	icon_name	info_pic	unit_description_text	region_unit_resource	total_cap	multiplayer_category	mp_available_early	mp_available_middle	mp_available_late	prestige	armed_citizenry
#units_tables;0;db/units_tables/units																				
12_lber_howitzer	12-lber Howitzer Foot Artillery	artillery	artillery_foot	650	1	640	250	22	artillery_medium_howitzer	euro_howitzer_12_icon	12_lber_howitzer	12_lber_howitzer	global	0	mp_artillery	true	true	false	0	false
12_lber_howitzer_colonial	Colonial 12-lber Howitzer Battery	artillery	artillery_foot	650	1	640	250	22	artillery_medium_howitzer	euro_howitzer_12_icon	12_lber_howitzer	12_lber_howitzer	americas_inland	0	mp_artillery	false	false	false	0	false
12_lber_land_cannon	12-lber Foot Artillery	artillery	artillery_foot	570	1	580	230	22	artillery_medium_cannon	euro_cannon_12_icon	12_lber_land_cannon	12_lber_land_cannon	global	0	mp_artillery	true	true	false	0	false
12_lber_land_cannon_colonial	Marine 12-lber Artillery Independent Company	artillery	artillery_foot	570	1	580	230	22	artillery_medium_cannon	euro_cannon_12_icon	12_lber_land_cannon_colonial	12_lber_land_cannon	americas_coastal	0	mp_artillery	false	false	false	0	false
12_lber_land_cannon_indian	12-lber Foot Artillery	artillery	artillery_foot	570	1	580	230	22	artillery_medium_cannon	ott_cannon_12_icon	East_Artillerymen_info_cn12	12_lber_land_cannon	global	0	mp_artillery	true	true	false	0	false
12_lber_ship_fort_cannon	12-lber Garrison Artillery	artillery	artillery_fixed	450	1	470	180	1	artillery_garrison		placeholder	12_lber_ship_fort_cannon	global	0	mp_artillery	false	false	false	0	false
18_lber_land_cannon	18-lber Foot Artillery	artillery	artillery_foot	600	1	600	240	22	artillery_heavy_cannon	euro_cannon_18_icon	18_lber_land_cannon	12_lber_land_cannon	global	0	mp_artillery	false	true	true	0	false
18_lber_land_cannon_east	18-lber Foot Artillery	artillery	artillery_foot	600	1	600	240	22	artillery_medium_cannon	ott_cannon_18_icon	East_Artillerymen_info_cn18	12_lber_land_cannon	global	0	mp_artillery	false	true	true	0	false
18_lber_land_cannon_guard_galloper	18-lber Horse Guard Artillery	artillery	artillery_horse	790	2	760	300	24	artillery_guards	euro_cannon_18_icon	18_lber_land_cannon	12_lber_land_cannon_galloper	global	4	mp_artillery	false	false	true	0	false
18_lber_land_cannon_indian	18-lber Foot Artillery	artillery	artillery_foot	600	1	600	240	22	artillery_heavy_cannon	ott_cannon_18_icon	East_Artillerymen_info_cn18	12_lber_land_cannon	global	0	mp_artillery	false	true	true	0	false
18_lber_ship_fort_cannon	18-lber Garrison Artillery	artillery	artillery_fixed	480	1	500	200	1	artillery_garrison		placeholder	12_lber_ship_fort_cannon	global	0	mp_artillery	false	false	false	0	false
1st_rate	First Rate Ship of the Line	naval_line_of_battle	naval_first_rate	2460	4	2460	410	78	naval_captain	1st_rate	3d_100	1st_rate	global	0	mp_naval_line_of_battle	false	false	true	5	false
1st_rate_admiral	Admiral's Flagship, 1st Rate	naval_line_of_battle	naval_admiral	2760	4	2760	460	78	naval_admiral	1st_rate	3d_100	1st_rate_admiral	global	0	mp_naval_line_of_battle	false	false	true	0	false
1st_rate_admiral_american	Admiral's Flagship, 1st Rate	naval_line_of_battle	naval_admiral	2840	4	2840	470	78	naval_admiral	1st_rate	3d_100	1st_rate_admiral	global	0	mp_naval_line_of_battle	false	false	true	0	false
1st_rate_admiral_british	Admiral's Flagship, 1st Rate	naval_line_of_battle	naval_admiral	2850	4	2850	470	78	naval_admiral	1st_rate	3d_100	1st_rate_admiral	global	0	mp_naval_line_of_battle	false	false	true	0	false
1st_rate_admiral_french	Admiral's Flagship, 1st Rate	naval_line_of_battle	naval_admiral	2700	4	2700	450	78	naval_admiral	1st_rate	3d_100	1st_rate_admiral	global	0	mp_naval_line_of_battle	false	false	true	0	false
1st_rate_admiral_russian	Admiral's Flagship, 1st Rate	naval_line_of_battle	naval_admiral	2760	4	2760	460	78	naval_admiral	1st_rate	3d_100	1st_rate_admiral	global	0	mp_naval_line_of_battle	false	false	true	0	false
1st_rate_admiral_spanish	Admiral's Flagship, 1st Rate	naval_line_of_battle	naval_admiral	2760	4	2760	460	78	naval_admiral	1st_rate	3d_100	1st_rate_admiral	global	0	mp_naval_line_of_battle	false	false	true	0	false
1st_rate_american	First Rate Ship of the Line	naval_line_of_battle	naval_first_rate	2520	4	2520	420	78	naval_captain	1st_rate	3d_100	1st_rate	global	0	mp_naval_line_of_battle	false	true	true	5	false
1st_rate_british	First Rate Ship of the Line	naval_line_of_battle	naval_first_rate	2560	4	2560	420	78	naval_captain	1st_rate	3d_100	1st_rate	global	0	mp_naval_line_of_battle	false	false	true	5	false
1st_rate_french	First Rate Ship of the Line	naval_line_of_battle	naval_first_rate	2460	4	2460	410	78	naval_captain	1st_rate	3d_100	1st_rate	global	0	mp_naval_line_of_battle	false	false	true	5	false
1st_rate_russian	First Rate Ship of the Line	naval_line_of_battle	naval_first_rate	2460	4	2460	410	78	naval_captain	1st_rate	3d_100	1st_rate	global	0	mp_naval_line_of_battle	false	false	true	5	false
1st_rate_spanish	First Rate Ship of the Line	naval_line_of_battle	naval_first_rate	2440	4	2440	400	78	naval_captain	1st_rate	3d_100	1st_rate	global	0	mp_naval_line_of_battle	false	false	true	5	false
24_lber_howitzer	24-lber Howitzer Foot Artillery	artillery	artillery_foot	690	2	680	270	22	artillery_howitzer	euro_howitzer_24_icon	24_lber_howitzer	12_lber_howitzer	global	0	mp_artillery	false	false	true	0	false
24_lber_howitzer_ottoman	24-lber Howitzer Foot Artillery	artillery	artillery_foot	690	2	680	270	22	artillery_howitzer	ott_howitzer_24_icon	East_Artillerymen_info_hw24	12_lber_howitzer	global	0	mp_artillery	true	true	true	0	false
24_lber_land_cannon	24-lber Foot Artillery	artillery	artillery_foot	630	2	620	240	22	artillery_heavy_cannon	euro_cannon_24_icon	24_lber_land_cannon	12_lber_land_cannon	global	0	mp_artillery	false	true	true	0	false
24_lber_land_cannon_(demi_cannon)	Demi-Cannons	artillery	artillery_fixed	450	2	480	190	22	artillery_demi_cannon	euro_ancient_cannon_24_icon	euro_artillery_info_sk24	24_lber_land_cannon_(demi_cannon)	global	0	mp_artillery	true	false	false	0	false
24_lber_land_cannon_(demi_cannon)_east	Demi-Cannons	artillery	artillery_fixed	480	2	500	200	22	artillery_demi_cannon	ott_cannon_24_icon	East_Artillerymen_info_cn24	24_lber_land_cannon_(demi_cannon)	global	0	mp_artillery	true	false	false	0	false
24_lber_land_cannon_(demi_cannon)_indian	Cannons	artillery	artillery_fixed	480	2	500	200	22	artillery_demi_cannon	ott_cannon_24_icon	East_Artillerymen_info_cn24	24_lber_land_cannon_(demi_cannon)	global	0	mp_artillery	true	false	false	0	false
24_lber_land_cannon_east	24-lber Foot Artillery	artillery	artillery_foot	630	2	620	240	22	artillery_heavy_cannon	ott_cannon_24_icon	East_Artillerymen_info_cn24	12_lber_land_cannon	global	0	mp_artillery	false	true	true	0	false
24_lber_land_cannon_guard	24-lber Guard Artillery	artillery	artillery_foot	710	3	700	280	22	artillery_heavy_cannon	euro_cannon_24_icon	24_lber_land_cannon_guard	12_lber_land_cannon	global	4	mp_artillery	false	false	true	0	false
24_lber_land_cannon_indian	24-lber Foot Artillery	artillery	artillery_foot	630	2	620	240	22	artillery_medium_cannon	ott_cannon_24_icon	East_Artillerymen_info_cn24	12_lber_land_cannon	global	0	mp_artillery	false	true	true	0	false
24_lber_ship_fort_cannon	24-lber Garrison Artillery	artillery	artillery_fixed	500	2	520	200	1	artillery_garrison		24_lber_ship_fort_cannon	12_lber_ship_fort_cannon	global	0	mp_artillery	false	false	false	0	false
2nd_rate	Second Rate Ship of the Line	naval_line_of_battle	naval_second_rate	2040	3	2040	340	78	naval_captain	2nd_rate	3d_80	2nd_rate_british	global	0	mp_naval_line_of_battle	false	false	true	0	false
2nd_rate_american	Second Rate Ship of the Line	naval_line_of_battle	naval_second_rate	2090	3	2090	340	78	naval_captain	2nd_rate	3d_80	2nd_rate_british	global	0	mp_naval_line_of_battle	false	false	true	0	false
2nd_rate_british	Second Rate Ship of the Line	naval_line_of_battle	naval_second_rate	2120	3	2120	350	78	naval_captain	2nd_rate	3d_80	2nd_rate_british	global	0	mp_naval_line_of_battle	false	false	true	0	false
2nd_rate_french	Second Rate Ship of the Line	naval_line_of_battle	naval_second_rate	1990	3	1990	330	78	naval_captain	2nd_rate	3d_80	2nd_rate_british	global	0	mp_naval_line_of_battle	false	false	true	0	false
2nd_rate_spanish	Second Rate Ship of the Line	naval_line_of_battle	naval_second_rate	2040	3	2040	340	78	naval_captain	2nd_rate	3d_80	2nd_rate_british	global	0	mp_naval_line_of_battle	false	false	true	0	false
3_lber_land_cannon_galloper	3-lber Horse Artillery	artillery	artillery_horse	590	1	590	230	25	artillery_light_horse	euro_cannon_03_galloper_icon	3_lber_land_cannon_galloper	12_lber_land_cannon_galloper	global	0	mp_artillery	true	true	false	0	false
3rd_rate	Third Rate Ship of the Line	naval_line_of_battle	naval_third_rate	1760	3	1760	290	78	naval_captain	3rd_rate	2d_74	3rd_rate	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_admiral	Admiral's Flagship, 3rd Rate	naval_line_of_battle	naval_admiral	2060	3	2060	340	78	naval_admiral	3rd_rate	2d_74	3rd_rate_admiral	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_admiral_american	Admiral's Flagship, 3rd Rate	naval_line_of_battle	naval_admiral	2080	3	2080	340	78	naval_admiral	3rd_rate	2d_74	3rd_rate_admiral	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_admiral_british	Admiral's Flagship, 3rd Rate	naval_line_of_battle	naval_admiral	2110	3	2110	350	78	naval_admiral	3rd_rate	2d_74	3rd_rate_admiral	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_admiral_french	Admiral's Flagship, 3rd Rate	naval_line_of_battle	naval_admiral	2030	3	2030	330	78	naval_admiral	3rd_rate	2d_74	3rd_rate_admiral	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_admiral_russian	Admiral's Flagship, 3rd Rate	naval_line_of_battle	naval_admiral	2060	3	2060	340	78	naval_admiral	3rd_rate	2d_74	3rd_rate_admiral	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_admiral_spanish	Admiral's Flagship, 3rd Rate	naval_line_of_battle	naval_admiral	2050	3	2050	340	78	naval_admiral	3rd_rate	2d_74	3rd_rate_admiral	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_american	Third Rate Ship of the Line	naval_line_of_battle	naval_third_rate	1760	3	1760	290	78	naval_captain	3rd_rate	2d_74	3rd_rate	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_british	Third Rate Ship of the Line	naval_line_of_battle	naval_third_rate	1820	3	1820	300	78	naval_captain	3rd_rate	2d_74	3rd_rate	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_french	Third Rate Ship of the Line	naval_line_of_battle	naval_third_rate	1790	3	1790	290	78	naval_captain	3rd_rate	2d_74	3rd_rate	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_russian	Third Rate Ship of the Line	naval_line_of_battle	naval_third_rate	1760	3	1760	290	78	naval_captain	3rd_rate	2d_74	3rd_rate	global	0	mp_naval_line_of_battle	false	true	true	0	false
3rd_rate_spanish	Third Rate Ship of the Line	naval_line_of_battle	naval_third_rate	1750	3	1750	290	78	naval_captain	3rd_rate	2d_74	3rd_rate	global	0	mp_naval_line_of_battle	false	true	true	0	false
4_inch_mortar	4-inch Mortar Battery	artillery	artillery_fixed	430	1	460	180	22	artillery_light_mortar	euro_mortar_04_icon	4_inch_mortar	4_inch_mortar	global	0	mp_artillery	true	true	true	0	false
4_inch_mortar_indian	Mortars	artillery	artillery_fixed	430	1	460	180	22	artillery_light_mortar	ott_mortar_04_icon	East_Artillerymen_info_mo04	4_inch_mortar	global	0	mp_artillery	true	true	false	0	false
4th_rate	Fourth Rate Ship of the Line	naval_line_of_battle	naval_fourth_rate	1370	3	1370	220	78	naval_captain	4th_rate	2d_64	4th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
4th_rate_american	Fourth Rate Ship of the Line	naval_line_of_battle	naval_fourth_rate	1430	3	1430	230	78	naval_captain	4th_rate	2d_64	4th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
4th_rate_british	Fourth Rate Ship of the Line	naval_line_of_battle	naval_fourth_rate	1440	3	1440	240	78	naval_captain	4th_rate	2d_64	4th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
4th_rate_french	Fourth Rate Ship of the Line	naval_line_of_battle	naval_fourth_rate	1330	3	1330	220	78	naval_captain	4th_rate	2d_64	4th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
4th_rate_frigate_standard	Fourth Rate Frigate	naval_frigate	naval_fourth_rate	1390	3	1390	230	78	naval_captain	4th_rate	2d_64	4th_rate_frigate_standard	global	0	mp_naval_line_of_battle	false	true	false	0	false
4th_rate_spanish	Fourth Rate Ship of the Line	naval_line_of_battle	naval_fourth_rate	1390	3	1390	230	78	naval_captain	4th_rate	2d_64	4th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate	Fifth Rate	naval_frigate	naval_fifth_rate	1060	2	1060	170	83	naval_captain	5th_rate	2d_44	5th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_admiral	Admiral's Flagship, 5th Rate	naval_frigate	naval_admiral	1360	2	1360	220	83	naval_admiral	5th_rate	2d_44	5th_rate_admiral	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_admiral_american	Admiral's Flagship, 5th Rate	naval_frigate	naval_admiral	1370	2	1370	220	83	naval_admiral	5th_rate	2d_44	5th_rate_admiral	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_admiral_british	Admiral's Flagship, 5th Rate	naval_frigate	naval_admiral	1380	2	1380	230	83	naval_admiral	5th_rate	2d_44	5th_rate_admiral	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_admiral_french	Admiral's Flagship, 5th Rate	naval_frigate	naval_admiral	1360	2	1360	220	83	naval_admiral	5th_rate	2d_44	5th_rate_admiral	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_admiral_russian	Admiral's Flagship, 5th Rate	naval_frigate	naval_admiral	1360	2	1360	220	83	naval_admiral	5th_rate	2d_44	5th_rate_admiral	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_admiral_spanish	Admiral's Flagship, 5th Rate	naval_frigate	naval_admiral	1350	2	1350	220	83	naval_admiral	5th_rate	2d_44	5th_rate_admiral	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_american	Fifth Rate	naval_frigate	naval_fifth_rate	1050	2	1050	170	83	naval_captain	5th_rate	2d_44	5th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_british	Fifth Rate	naval_frigate	naval_fifth_rate	1090	2	1090	180	83	naval_captain	5th_rate	2d_44	5th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_french	Fifth Rate	naval_frigate	naval_fifth_rate	1160	2	1160	190	83	naval_captain	5th_rate	2d_44	5th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_russian	Fifth Rate	naval_frigate	naval_fifth_rate	1110	2	1110	180	83	naval_captain	5th_rate	2d_44	5th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
5th_rate_spanish	Fifth Rate	naval_frigate	naval_fifth_rate	1050	2	1050	170	83	naval_captain	5th_rate	2d_44	5th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
6_lber_land_cannon_galloper	6-lber Horse Artillery	artillery	artillery_horse	620	1	620	240	24	artillery_light_horse	euro_cannon_06_galloper_icon	6_lber_land_cannon_galloper	12_lber_land_cannon_galloper	global	0	mp_artillery	false	true	true	0	false
64_lber_fort_carronade	64-lber Garrison Carronades	artillery	artillery_fixed	580	3	580	230	1	artillery_great_cannon		placeholder	64_lber_fort_carronade	global	0	mp_artillery	false	false	false	0	false
64_lber_land_cannon_elephant	64-lber Great Gun	artillery	artillery_fixed	430	3	460	180	24	artillery_elephant	ott_cannon_64_icon	East_Artillerymen_info_cn64	64_lber_land_cannon_elephant	india	0	mp_artillery	false	true	true	0	false
64_lber_siege_cannon	64-lber Heavy Artillery	artillery	artillery_fixed	430	3	460	180	21	artillery_siege_guns	ott_cannon_64_icon	East_Artillerymen_info_cn64	64_lber_land_cannon_elephant	global	0	mp_artillery	false	false	true	0	false
6th_rate	Sixth Rate	naval_frigate	naval_sixth_rate	800	2	800	130	83	naval_captain	6th_rate	1d_24	6th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
6th_rate_american	Sixth Rate	naval_frigate	naval_sixth_rate	780	2	780	130	83	naval_captain	6th_rate	1d_24	6th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
6th_rate_british	Sixth Rate	naval_frigate	naval_sixth_rate	830	2	830	130	83	naval_captain	6th_rate	1d_24	6th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
6th_rate_british_tutorial	Sixth Rate	naval_frigate	naval_sixth_rate	3950	2	3950	650	83	naval_captain	6th_rate	1d_24	6th_rate	global	0	mp_naval_line_of_battle	false	false	false	0	false
6th_rate_french	Sixth Rate	naval_frigate	naval_sixth_rate	910	2	910	150	83	naval_captain	6th_rate	1d_24	6th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
6th_rate_russian	Sixth Rate	naval_frigate	naval_sixth_rate	800	2	800	130	83	naval_captain	6th_rate	1d_24	6th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
6th_rate_spanish	Sixth Rate	naval_frigate	naval_sixth_rate	790	2	790	130	83	naval_captain	6th_rate	1d_24	6th_rate	global	0	mp_naval_line_of_battle	true	true	true	0	false
8_inch_mortar	8-inch Mortar Battery	artillery	artillery_fixed	480	1	510	200	21	artillery_heavy_mortar	euro_mortar_08_icon	8_inch_mortar	4_inch_mortar	global	0	mp_artillery	false	false	true	0	false
8_inch_mortar_east	Bombardment Mortars	artillery	artillery_fixed	480	1	510	200	21	artillery_heavy_mortar	ott_mortar_08_icon	East_Artillerymen_info_mo08	4_inch_mortar	global	0	mp_artillery	false	false	true	0	false
8_inch_mortar_indian	Large Mortars	artillery	artillery_fixed	480	1	510	200	21	artillery_heavy_mortar	ott_mortar_08_icon	East_Artillerymen_info_mo08	4_inch_mortar	global	0	mp_artillery	false	false	true	0	false
9_lber_land_cannon_(saker)	Sakers	artillery	artillery_fixed	390	2	430	170	22	artillery_sakers	euro_ancient_cannon_09_icon	9_lber_land_cannon_(saker)	9_lber_land_cannon_(saker)	global	0	mp_artillery	true	false	false	0	false
9_lber_land_cannon_(saker)_east	9-lber Artillery	artillery	artillery_fixed	390	2	430	170	22	artillery_sakers	ott_cannon_09_icon	East_Artillerymen_info_cn09	9_lber_land_cannon_(saker)	global	0	mp_artillery	true	false	false	0	false
9_lber_land_cannon_(saker)_indian	Guns	artillery	artillery_fixed	390	2	430	170	22	artillery_sakers	ott_cannon_09_icon	East_Artillerymen_info_cn09	9_lber_land_cannon_(saker)	global	0	mp_artillery	true	false	false	0	false
african_slaver_musketeers	African Musketeers	infantry	infantry_militia	500	1	520	200	24	infantry_generic	african_slaver_musketeers_icon_infm	african_slaver_musketeers	african_slaver_musketeers	west_indies	0	mp_infantry	false	false	false	0	false
african_tribal_spearmen	African Spearmen	infantry	infantry_melee	310	1	340	130	24	infantry_spearmen		placeholder	african_slaver_musketeers	west_indies	0	mp_infantry	false	false	false	0	false
american_heavy_frigate	24-pounder Frigate	naval_frigate	naval_razee	1570	2	1570	260	83	naval_captain	razee	razee	american_heavy_frigate	global	0	mp_naval_line_of_battle	false	false	true	0	false
americas_dragoons	Dragoons	dragoons	dragoons	590	1	590	230	28	dragoons	euro_dragoons	dragoons	euro_dragoons	americas	0	mp_cavalry	false	false	false	0	false
americas_hessian_infantry	Hessian Line Infantry	infantry	infantry_line	660	1	650	260	24	infantry_generic	Euro_Expat_Infantry_icon_infm	Euro_Expat_Infantry_info_infm	euro_line_infantry	americas	5	mp_infantry	true	true	false	0	false
