fatigue_level	unit_category	run_speed	charge_bonus	firing_accuracy	melee_penalty
#fatigue_effects_tables;0;db/fatigue_effects_tables/fatigue_effects					
threshold_exhausted	artillery	-0.5000	-0.5000	-0.1500	-0.5000
threshold_exhausted	cavalry	-0.5000	-0.5000	-0.1500	-0.5000
threshold_exhausted	dragoons	-0.5000	-0.5000	-0.1500	-0.5000
threshold_exhausted	elephants	-0.5000	-0.5000	-0.1500	-0.5000
threshold_exhausted	infantry	-0.5000	-0.5000	-0.1500	-0.5000
threshold_exhausted	naval_auxiliary	0.0000	0.0000	0.0000	-0.5000
threshold_exhausted	naval_frigate	0.0000	0.0000	0.0000	-0.5000
threshold_exhausted	naval_galley	-0.5000	-0.5000	0.0000	-0.5000
threshold_exhausted	naval_line_of_battle	0.0000	0.0000	0.0000	-0.5000
threshold_exhausted	naval_specialist	0.0000	0.0000	0.0000	-0.5000
threshold_tired	artillery	-0.1000	-0.1000	-0.0500	-0.1000
threshold_tired	cavalry	-0.1000	-0.1000	-0.0500	-0.1000
threshold_tired	dragoons	-0.1000	-0.1000	-0.0500	-0.1000
threshold_tired	elephants	-0.1000	-0.1000	-0.0500	-0.1000
threshold_tired	infantry	-0.1000	-0.1000	-0.0500	-0.1000
threshold_tired	naval_auxiliary	0.0000	0.0000	0.0000	-0.1000
threshold_tired	naval_frigate	0.0000	0.0000	0.0000	-0.1000
threshold_tired	naval_galley	-0.1000	-0.1000	0.0000	-0.1000
threshold_tired	naval_line_of_battle	0.0000	0.0000	0.0000	-0.1000
threshold_tired	naval_specialist	0.0000	0.0000	0.0000	-0.1000
threshold_very_tired	artillery	-0.2500	-0.2500	0.0000	-0.2500
threshold_very_tired	cavalry	-0.2500	-0.2500	-0.1000	-0.2500
threshold_very_tired	dragoons	-0.2500	-0.2500	-0.1000	-0.2500
threshold_very_tired	elephants	-0.2500	-0.2500	-0.1000	-0.2500
threshold_very_tired	infantry	-0.2500	-0.2500	-0.1000	-0.2500
threshold_very_tired	naval_auxiliary	0.0000	0.0000	0.0000	-0.2500
threshold_very_tired	naval_frigate	0.0000	0.0000	0.0000	-0.2500
threshold_very_tired	naval_galley	-0.2500	-0.2500	0.0000	-0.2500
threshold_very_tired	naval_line_of_battle	0.0000	0.0000	0.0000	-0.2500
threshold_very_tired	naval_specialist	0.0000	0.0000	0.0000	-0.2500
