key	anim_set_key	anim_status	anim	anim_type	action_id	transition_to_status	idle_weighting
#campaign_character_anims_junctions_tables;0;db/campaign_character_anims_junctions_tables/campaign_character_anims_junctions							
-2125189416	rake	attack_trade	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Highway_Idle4.anim	idle			1.0000
-2061138958	eastern_ship	attack_trade	Animations/CampaignPieces/east_campaign_ship_anim_unfurled_traderoute_idle.anim	idle			1.0000
-2026103908	default_human	siege	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Seige_Idle3.anim	idle			1.0000
-1961887118	eastern_ship	attack_trade	Animations/CampaignPieces/east_campaign_ship_anim_unfurled_sink.anim	action	die_character_stab		0.0000
-1904534168	default_human	attack_trade	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Stand_to_Defence.anim	matched_action	attack_character		0.0000
-1903363313	eastern_ship	attack_trade	Animations/CampaignPieces/east_campaign_ship_anim_unfurled_sink.anim	action	die_character_shoot		0.0000
-1883304718	default_human	attack_trade	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Stand_to_Defence_Agent.anim	matched_action	assassinate		0.0000
-1736451290	rake	normal	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Idle4.anim	idle			1.0000
-1696124069	gentleman	normal	Animations/MEN/CAMPAIGN/CAM_GENTLEMAN/CAM_G_Idle4.anim	idle			1.0000
-1690218237	missionary	normal	Animations/MEN/CAMPAIGN/CAM_MISSIONARY/CAM_M_Pistol_Death.anim	action	die_character_stab		0.0000
-1686905827	default_human	stealthy	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Pistol_Death.anim	action	die_character_shoot		0.0000
-1625736043	scholar	normal	Animations/MEN/CAMPAIGN/CAM_SCHOLAR/CAM_S_Idle_3.anim	idle			1.0000
-1608678350	scholar	normal	Animations/MEN/CAMPAIGN/CAM_SCHOLAR/CAM_S_Idle_4.anim	idle			1.0000
-1590147014	rake	normal	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Fire_Pistol.anim	action	kill_character_shoot		0.0000
-1587560678	default_human	stealthy	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Fire_Pistol.anim	action	kill_character_shoot		0.0000
-1578473180	eastern_ship	siege	Animations/CampaignPieces/east_campaign_ship_anim_unfurled_traderoute_idle.anim	idle			1.0000
-1561652192	thugee	attack_trade	Animations/MEN/CAMPAIGN/CAM_THUGEE/CAM_T_Matched_Stab_Death.anim	action	die_character_stab		0.0000
-1515531435	default_ship	attack_trade	Animations/CampaignPieces/euro_campaign_ship_anim_unfurled_traderoute_idle.anim	idle			1.0000
-1501668740	default_human	siege	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Matched_Stab_Death.anim	action	die_character_stab		0.0000
-1490893157	default_human	normal	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Stand_to_Seige.anim	status_transition		siege	0.0000
-1469588968	default_ship	attack_trade	Animations/CampaignPieces/euro_campaign_ship_anim_unfurled_sink.anim	action	die_character_shoot		0.0000
-1469354409	default_human	attack_trade	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Seige_Idle3.anim	idle			1.0000
-1443273345	default_ship	normal	animations/campaignpieces/euro_campaign_ship_anim_unfurled_idle.anim	idle			1.0000
-1402784680	thugee	normal	Animations/MEN/CAMPAIGN/CAM_THUGEE/CAM_T_Selected.anim	to_selected			0.0000
-1384481462	thugee	normal	Animations/MEN/CAMPAIGN/CAM_THUGEE/CAM_T_Idle4.anim	idle			1.0000
-1374132450	default_human	siege	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Stand_to_Defence.anim	matched_action	attack_character		0.0000
-1353616885	eastern_ship	siege	Animations/CampaignPieces/east_campaign_ship_anim_unfurled_sink.anim	action	die_character_stab		0.0000
-1331641750	default_human	normal	animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Stand.anim	idle			1.0000
-1292318807	default_human	normal	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Idle5.anim	idle			1.0000
-1248102499	missionary	normal	Animations/MEN/CAMPAIGN/CAM_MISSIONARY/CAM_M_Selection.anim	to_selected			0.0000
-1240653063	missionary	normal	Animations/MEN/CAMPAIGN/CAM_MISSIONARY/CAM_M_Pistol_Death.anim	action	die_character_shoot		0.0000
-1215056781	rake	normal	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Idle1.anim	idle			1.0000
-1170109630	default_ship	siege	Animations/CampaignPieces/euro_campaign_ship_anim_unfurled_fire.anim	action	attack_character		0.0000
-1127228582	rake	normal	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Stand_to_Defence.anim	matched_action	assassinate		0.0000
-1087458681	default_human	normal	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Matched_Stab_Death.anim	action	die_character_stab		0.0000
-1070455989	missionary	normal	Animations/MEN/CAMPAIGN/CAM_MISSIONARY/CAM_M_Stand_to_Defence.anim	matched_action	attack_character		0.0000
-1061357172	thugee	attack_trade	Animations/MEN/CAMPAIGN/CAM_THUGEE/CAM_T_Seige_Attack_Idle2.anim	idle			1.0000
-1044730156	thugee	normal	Animations/MEN/CAMPAIGN/CAM_THUGEE/CAM_T_Matched_Stab.anim	action	kill_character_stab		0.0000
-1040701033	thugee	attack_trade	animations/MEN/CAMPAIGN/CAM_THUGEE/CAM_T_Seige_Attack_Idle1.anim	idle			1.0000
-1005463762	gentleman	normal	Animations/MEN/CAMPAIGN/CAM_GENTLEMAN/CAM_G_Stand_to_Attack.anim	action	duel		0.0000
-959570983	rake	normal	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Idle3.anim	idle			1.0000
-949941966	rake	attack_trade	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Highway_Stand_to_Stand.anim	status_transition		normal	0.0000
-948102121	default_human	stealthy	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Matched_Stab_Death.anim	action	die_character_stab		0.0000
-946977254	missionary	normal	Animations/MEN/CAMPAIGN/CAM_MISSIONARY/CAM_M_Idle_3.anim	idle			1.0000
-884997854	thugee	attack_trade	Animations/MEN/CAMPAIGN/CAM_THUGEE/CAM_T_Stand_to_Attack.anim	action	attack_character		0.0000
-880159865	thugee	normal	Animations/MEN/CAMPAIGN/CAM_THUGEE/CAM_T_Idle1.anim	idle			1.0000
-872696875	eastern_ship	normal	Animations/CampaignPieces/east_campaign_ship_anim_unfurled_sink.anim	action	die_character_stab		0.0000
-870086388	missionary	normal	Animations/MEN/CAMPAIGN/CAM_MISSIONARY/CAM_M_Idle_1.anim	idle			1.0000
-864599175	default_human	attack_trade	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Selected.anim	to_selected			0.0000
-832918596	thugee	normal	Animations/MEN/CAMPAIGN/CAM_THUGEE/CAM_T_Matched_Stab_Death.anim	action	die_character_stab		0.0000
-709901864	missionary	normal	Animations/MEN/CAMPAIGN/CAM_MISSIONARY/CAM_M_Idle_5.anim	idle			1.0000
-701792412	scholar	normal	Animations/MEN/CAMPAIGN/CAM_SCHOLAR/CAM_S_Idle_2.anim	idle			1.0000
-698360035	missionary	normal	Animations/MEN/CAMPAIGN/CAM_MISSIONARY/CAM_M_Idle_2.anim	idle			1.0000
-668878326	default_human	normal	Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Idle2.anim	idle			1.0000
-666300218	rake	attack_trade	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Pistol_Death.anim	action	die_character_shoot		0.0000
-605926407	rake	attack_trade	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Highway_Idle5.anim	idle			1.0000
-597889133	rake	attack_trade	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Highway_Idle3.anim	idle			1.0000
-589630059	rake	normal	Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Stand_to_Highway_Stand.anim	status_transition		attack_trade	0.0000
-559702645	default_ship	attack_trade	Animations/CampaignPieces/euro_campaign_ship_anim_unfurled_fire.anim	action	attack_character		0.0000
