building_level_key	technology_key
#building_level_required_technology_junctions_tables;0;db/building_level_required_technology_junctions_tables/building_level_required_technology_junctions	
army_board	military_army_reoganised_procurement
army_staff_college	military_army_platoon_firing
ceramics_factory	industry_metal_machine_tools
coffee_warehouse	enlightenment_division_of_labour
college	enlightenment_empiricism
commercial_basin	enlightenment_joint_stock_companies
commercial_port	enlightenment_division_of_labour
corn_clearances	industry_agriculture_four_field_crop_rotation
corn_great_estates	industry_agriculture_selective_breeding
corn_tenanted_farms	industry_agriculture_common_land_enclosures
cotton_warehouse	enlightenment_division_of_labour
dockyard	military_navy_naval_shore_facilities
drill_school	military_army_military_syllabus
drydock	military_navy_naval_architecture_advances
enlightened_university	enlightenment_rights_of_man
fur_exchange	enlightenment_joint_stock_companies
great_arsenal	military_ordnance_explosive_shells
gunnery_school	military_army_reoganised_procurement
industrial_gold_mining_complex	industry_metal_steam_engine
industrial_iron_mining_complex	industry_metal_steam_engine
industrial_silver_mining_complex	industry_metal_steam_engine
ironmasters_works	industry_metal_coke_blast_furnace
large_coffee_plantation	enlightenment_physiocracy
large_cotton_plantation	enlightenment_physiocracy
large_spices_plantation	enlightenment_physiocracy
large_sugar_plantation	enlightenment_physiocracy
large_tea_plantation	enlightenment_physiocracy
large_tobacco_plantation	enlightenment_physiocracy
military_academy	military_army_socket_bayonet
naval_board	military_navy_naval_shore_facilities
naval_college	military_navy_reformed_naval_administration
ordnance_factory	military_ordnance_canister_shot
royal_academy	enlightenment_secular_humanism
sheep_clearances	industry_agriculture_four_field_crop_rotation
sheep_great_estates	industry_agriculture_selective_breeding
sheep_tenanted_farms	industry_agriculture_common_land_enclosures
spices_warehouse	enlightenment_division_of_labour
steam_drydock	industry_metal_steam_engine
steam_engine_factory	industry_metal_steam_engine
steam-powered_cloth_mill	industry_metal_steam_engine
steam-powered_cloth_mill	industry_textile_power_loom
steam-powered_sugar_mill	industry_metal_steam_engine
steam-pumped_gold_mine	industry_metal_basic_steam_pump
steam-pumped_iron_mine	industry_metal_basic_steam_pump
steam-pumped_silver_mine	industry_metal_basic_steam_pump
sugar_warehouse	enlightenment_division_of_labour
tea_warehouse	enlightenment_division_of_labour
timber_lumber_mill	industry_metal_machine_tools
tobacco_warehouse	enlightenment_division_of_labour
trading_company	enlightenment_free_trade_doctrine
university	enlightenment_utilitarianism
water-powered_cloth_mill	industry_textile_spinning_mule
wheat_clearances	industry_agriculture_four_field_crop_rotation
wheat_great_estates	industry_agriculture_selective_breeding
wheat_tenanted_farms	industry_agriculture_common_land_enclosures
wine_estates	industry_agriculture_advanced_irrigation
wineries	industry_agriculture_common_land_enclosures
rice_farms	industry_agriculture_common_land_enclosures
rice_farming_commune	industry_agriculture_four_field_crop_rotation
tarmac_roads	industry_metal_measuring_tools
