key	building_level	position_index	research_points_required	icon_name	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	mp_available_early	mp_available_late	info_pic
#technologies_tables;0;db/technologies_tables/technologies											
enlightenment_abolition_of_slavery	enlightened_university	4	447	enlightenment_abolition_of_slavery	0	0	0	100	false	false	culture_eu_university.tga
enlightenment_anti_clericism	enlightened_university	6	457	military_army_airguns	0	0	0	0	false	false	placeholder.tga
enlightenment_citizenship	enlightened_university	0	289	enlightenment_citizenship	0	0	0	30	false	false	culture_eu_university.tga
enlightenment_classical_economics	enlightened_university	7	436	enlightenment_classical_economics	0	0	0	40	false	false	culture_eu_university.tga
enlightenment_division_of_labour	college	7	105	enlightenment_division_of_labour	0	0	0	20	false	false	culture_eu_university.tga
enlightenment_empiricism	school	4	31	enlightenment_empiricism	0	0	0	10	false	false	culture_eu_university.tga
enlightenment_free_trade_doctrine	enlightened_university	3	300	enlightenment_free_trade_doctrine	0	0	20	0	false	false	culture_eu_university.tga
enlightenment_government_by_consent	college	5	82	enlightenment_government_by_consent	0	0	0	20	false	false	culture_eu_university.tga
enlightenment_joint_stock_companies	university	3	144	enlightenment_joint_stock_companies	0	0	10	0	false	false	culture_eu_university.tga
enlightenment_national_debt	university	6	201	enlightenment_national_debt	0	0	20	0	false	false	culture_eu_university.tga
enlightenment_physiocracy	school	7	37	enlightenment_physiocracy	0	0	0	0	false	false	culture_eu_university.tga
enlightenment_rights_of_man	university	4	201	enlightenment_rights_of_man	0	0	0	20	false	false	culture_eu_university.tga
enlightenment_secular_humanism	enlightened_university	2	330	enlightenment_secular_humanism	0	0	0	30	false	false	culture_eu_university.tga
enlightenment_separation_of_powers	university	1	133	enlightenment_separation_of_powers	0	0	0	20	false	false	culture_eu_university.tga
enlightenment_social_contract	school	5	45	enlightenment_social_contract	0	0	0	10	false	false	culture_eu_university.tga
enlightenment_utilitarianism	college	4	97	enlightenment_utilitarianism	0	0	0	10	false	false	culture_eu_university.tga
enlightenment_wealth_of_nations	university	7	201	enlightenment_wealth_of_nations	0	0	20	0	false	false	culture_eu_university.tga
industry_agriculture_advanced_irrigation	wheat_clearances	3	177	industry_agriculture_advanced_irrigation	0	0	10	0	false	false	agriculture_eu.tga
industry_agriculture_common_land_enclosures	wheat_peasant_farms	4	36	industry_agriculture_common_land_enclosures	0	0	0	0	false	false	agriculture_eu.tga
industry_agriculture_four_field_crop_rotation	wheat_tenanted_farms	4	115	industry_agriculture_four_field_crop_rotation	0	0	0	0	false	false	agriculture_eu.tga
industry_agriculture_improved_animal_husbandry	wheat_peasant_farms	5	42	industry_agriculture_improved_animal_husbandry	0	0	0	0	false	false	agriculture_eu.tga
industry_agriculture_seed_planting_drill	wheat_clearances	2	177	industry_agriculture_seed_planting_drill	0	0	10	0	false	false	agriculture_eu.tga
