slot	level	gdp_value	building_gdp_modifier
#slots_gdp_values_tables;0;db/slots_gdp_values_tables/slots_gdp_values			
caribbean	1	0.0000	1.0000
caribbean	2	0.0000	1.2500
caribbean	3	0.0000	1.5000
caribbean	4	0.0000	1.7500
caribbean	5	0.0000	2.0000
corn	1	0.0000	1.0000
corn	2	0.0000	1.2500
corn	3	0.0000	1.5000
corn	4	0.0000	1.7500
corn	5	0.0000	2.0000
cuba	1	0.0000	1.0000
cuba	2	0.0000	1.2500
cuba	3	0.0000	1.5000
cuba	4	0.0000	1.7500
cuba	5	0.0000	2.0000
egypt	1	0.0000	1.0000
egypt	2	0.0000	1.2500
egypt	3	0.0000	1.5000
egypt	4	0.0000	1.7500
egypt	5	0.0000	2.0000
fish	1	0.0000	1.0000
fish	2	0.0000	1.2500
fish	3	0.0000	1.5000
fish	4	0.0000	1.7500
fish	5	0.0000	2.0000
fur	1	0.0000	1.0000
fur	2	0.0000	1.2500
fur	3	0.0000	1.5000
fur	4	0.0000	1.7500
fur	5	0.0000	2.0000
gems	1	0.0000	1.0000
gems	2	0.0000	1.2500
gems	3	0.0000	1.5000
gems	4	0.0000	1.7500
gems	5	0.0000	2.0000
gold	1	0.0000	1.0000
gold	2	0.0000	1.2500
gold	3	0.0000	1.5000
gold	4	0.0000	1.7500
gold	5	0.0000	2.0000
india_highlands	1	0.0000	1.0000
india_highlands	2	0.0000	1.2500
india_highlands	3	0.0000	1.5000
india_highlands	4	0.0000	1.7500
india_highlands	5	0.0000	2.0000
iron	1	0.0000	1.0000
iron	2	0.0000	1.2500
iron	3	0.0000	1.5000
iron	4	0.0000	1.7500
iron	5	0.0000	2.0000
port	0	0.0000	0.7500
port	1	0.0000	1.0000
port	2	0.0000	1.2500
port	3	0.0000	1.5000
port	4	0.0000	1.7500
port	5	0.0000	2.0000
rice	1	0.0000	1.0000
rice	2	0.0000	1.2500
rice	3	0.0000	1.5000
rice	4	0.0000	1.7500
rice	5	0.0000	2.0000
settlement	1	0.0000	1.0000
settlement	2	0.0000	1.2500
settlement	3	0.0000	1.5000
settlement	4	0.0000	1.7500
settlement	5	0.0000	2.0000
sheep	1	0.0000	1.0000
sheep	2	0.0000	1.2500
sheep	3	0.0000	1.5000
sheep	4	0.0000	1.7500
sheep	5	0.0000	2.0000
silver	1	0.0000	1.0000
silver	2	0.0000	1.2500
silver	3	0.0000	1.5000
silver	4	0.0000	1.7500
silver	5	0.0000	2.0000
southern_usa	1	0.0000	1.0000
southern_usa	2	0.0000	1.2500
southern_usa	3	0.0000	1.5000
southern_usa	4	0.0000	1.7500
southern_usa	5	0.0000	2.0000
timber	1	0.0000	1.0000
timber	2	0.0000	1.2500
timber	3	0.0000	1.5000
timber	4	0.0000	1.7500
timber	5	0.0000	2.0000
town	0	0.0000	0.7500
town	1	0.0000	1.0000
town	2	0.0000	1.2500
town	3	0.0000	1.5000
town	4	0.0000	1.7500
town	5	0.0000	2.0000
town-metal	0	0.0000	0.7500
town-metal	1	0.0000	1.0000
town-metal	2	0.0000	1.2500
town-metal	3	0.0000	1.5000
town-metal	4	0.0000	1.7500
town-metal	5	0.0000	2.0000
town-textile	0	0.0000	0.7500
town-textile	1	0.0000	1.0000
town-textile	2	0.0000	1.2500
town-textile	3	0.0000	1.5000
town-textile	4	0.0000	1.7500
town-textile	5	0.0000	2.0000
tropical_humid	1	0.0000	1.0000
tropical_humid	2	0.0000	1.2500
tropical_humid	3	0.0000	1.5000
tropical_humid	4	0.0000	1.7500
tropical_humid	5	0.0000	2.0000
wheat	1	0.0000	1.0000
wheat	2	0.0000	1.2500
wheat	3	0.0000	1.5000
wheat	4	0.0000	1.7500
wheat	5	0.0000	2.0000
wine	1	0.0000	1.0000
wine	2	0.0000	1.2500
wine	3	0.0000	1.5000
wine	4	0.0000	1.7500
wine	5	0.0000	2.0000
